Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country
Pinta Discovery Europe The Netherlands,Browar PINTA,5.99,4.03,6.9%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F94%2F43%2F432706.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/pinta-discovery-europe-the-netherlands--432706"", ""Beer Page"")",Poland
Pinta Discovery Europe Slovakia,Browar PINTA,5.99,3.94,6.9%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F94%2F43%2F432705.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/pinta-discovery-europe-slovakia--432705"", ""Beer Page"")",Poland
Polly's X Northern Monk Electric Feel,Polly's Brew Co.,7.99,3.92,8.4%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F94%2F43%2F432708.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/pollys-x-northern-monk-electric-feel--432708"", ""Beer Page"")",Wales
Arpus Single Hop Series TDH Superdelic,Ārpus Brewing Co.,6.25,3.87,6.5%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F94%2F43%2F432695.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/arpus-single-hop-series-tdh-superdelic--432695"", ""Beer Page"")",Latvia
Exotic Species,Vocation Brewery,5.99,3.83,7.5%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F94%2F43%2F432713.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/vocation-exotic-species--432713"", ""Beer Page"")",England
Salt Seven Juicy Seas,SALT,5.50,3.75,5%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F94%2F43%2F432709.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/salt-seven-juicy-seas--432709"", ""Beer Page"")",England
1000 Yard Stare,Stormtrooper Beer,4.99,3.66,6.6%,IPA - American,beer-images.beerizer.com%2Fraw%2F94%2F43%2F432710.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/stormtrooper-1000-yard-stare--432710"", ""Beer Page"")",England
Pinta Kopyra Forever Young,Browar PINTA,3.85,3.59,2.6%,Grodziskie / Grätzer,beer-images.beerizer.com%2Fraw%2F94%2F43%2F432707.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/pinta-kopyra-forever-young--432707"", ""Beer Page"")",Poland
Rising Son,Stormtrooper Beer,4.50,3.49,7.4%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F94%2F43%2F432711.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/stormtrooper-beer-rising-son--432711"", ""Beer Page"")",England
MOPA,De Mortselarij,3.50,3.45,5.5%,Pale Ale - Belgian,beer-images.beerizer.com%2Fraw%2F94%2F43%2F432699.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/de-mortselarij-mopa--432699"", ""Beer Page"")",Belgium
Cool As A Cucumber,Vocation Brewery,3.75,3.42,4.7%,Kölsch,beer-images.beerizer.com%2Fraw%2F94%2F43%2F432712.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/vocation-brewery-cool-as-a-cucumber--432712"", ""Beer Page"")",England
4-Ever,Brewski,2.50,3.04,0.3%,Non-Alcoholic - IPA,beer-images.beerizer.com%2Fraw%2F94%2F43%2F432698.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/brewski-4-ever--432698"", ""Beer Page"")",Sweden
Bianca Non-Alcoholic Mango Lassi Gose,Omnipollo,4.99,N/A,0.3%,Non-Alcoholic - Sour,beer-images.beerizer.com%2Fraw%2F94%2F43%2F432704.jpg,"=HYPERLINK(""https://beerizer.com/shop/verdins/omnipollo-bianca-non-alcoholic-mango-lassi-gose--432704"", ""Beer Page"")",Sweden
