Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country,Label_Color,Text_Color,Analysis_Error
Keyrock (black wax),3 Floyds Brewing,108.99,4.46,15%,Stout - Russian Imperial,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-2470_fbcd9.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/keyrock-black-wax--384424"", ""Beer Page"")",United States,unknown,unknown,
Chantilly,Aslin Beer Company,46.99,4.45,12.5%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3750870_1047f_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/chantilly--384577"", ""Beer Page"")",United States,blue,white,
BA Dessert Eagle (Rocky),Arkane Aleworks,54.99,4.45,12%,Stout - Imperial / Double Pastry,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-4448978_8bb38_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/ba-dessert-eagle-rocky--384547"", ""Beer Page"")",United States,red,white,
Boston,Aslin Beer Company,61.99,4.44,12%,Stout - Imperial / Double Pastry,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3186053_a0461_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/boston--384566"", ""Beer Page"")",United States,red,white,
Greenville,Aslin Beer Company,61.99,4.44,16.5%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3750866_be10b_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/greenville--384593"", ""Beer Page"")",United States,white,black,
Mattapoisett,Aslin Beer Company,46.99,4.43,15%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3301796_89fbf_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/mattapoisett--384605"", ""Beer Page"")",United States,white,pink,
Glamping,Aslin Beer Company,61.99,4.43,15%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-2702889_b4a58_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/glamping--384590"", ""Beer Page"")",United States,brown,white,
"Barrel-Aged Fionn (no year, wax or ABV)",Angry Chair Brewing,92.99,4.43,11%,Porter - Imperial / Double Coffee,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-2540397_50c93_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/barrel-aged-fionn-no-year-wax-or-abv--384515"", ""Beer Page"")",United States,black,white,
Apple Brandy Barrel-Aged Dave's with Vanilla 2021,Angry Chair Brewing,84.99,4.43,10.5%,Barleywine - English,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-56815_7e223.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/apple-brandy-barrel-aged-daves-with-vanilla-2021--384507"", ""Beer Page"")",United States,unknown,unknown,
Alexandria,Aslin Beer Company,54.99,4.43,16.5%,Stout - Imperial / Double,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-170844_e2a8f.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/alexandria--384552"", ""Beer Page"")",United States,unknown,unknown,
Bale,Aslin Beer Company,59.99,4.42,13.5%,Stout - Imperial / Double Pastry,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-2548221_4526b_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/bale--384560"", ""Beer Page"")",United States,orange,black,
San Diego,Aslin Beer Company,38.99,4.42,14.5%,Stout - Imperial / Double Coffee,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3350927_7a565_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/san-diego--384620"", ""Beer Page"")",United States,white,black,
Barrel-Aged Popinski: Peanut Butter and Marshmallow (2020),Angry Chair Brewing,84.99,4.41,10.5%,Stout - Russian Imperial,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-56815_7e223.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/barrel-aged-popinski-peanut-butter-and-marshmallow-2020--384524"", ""Beer Page"")",United States,unknown,unknown,
Orlando,Aslin Beer Company,61.99,4.41,16%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-3750861_357f3_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/orlando--384610"", ""Beer Page"")",United States,gold,black,
"Barrel-Aged Cake Pop (no year, wax or ABV)",Angry Chair Brewing,84.99,4.41,11%,Stout - Russian Imperial,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-56815_7e223.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/barrel-aged-cake-pop-no-year-wax-or-abv--384511"", ""Beer Page"")",United States,unknown,unknown,
"Barrel-Aged Cake Pop: Vanilla Beans and Cacao (no year, wax or ABV)",Angry Chair Brewing,84.99,4.41,11%,Stout - Russian Imperial,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-56815_7e223.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/barrel-aged-cake-pop-vanilla-beans-and-cacao-no-year-wax-or-abv--384512"", ""Beer Page"")",United States,unknown,unknown,
The Gang Goes Camping,Aslin Beer Company,61.99,4.41,16.5%,Stout - Imperial / Double,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-170844_e2a8f.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/the-gang-goes-camping--384629"", ""Beer Page"")",United States,unknown,unknown,
Crumb Snatchers,Aslin Beer Company,61.99,4.41,16.5%,Stout - Imperial / Double,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-170844_e2a8f.jpeg,"=HYPERLINK(""https://beerizer.com/shop/addicted2craftbeer/crumb-snatchers--384580"", ""Beer Page"")",United States,unknown,unknown,
